P19,,P19_lo,,P19_hi,,C20,,C20_lo,,C20_hi,,vW13,,vW13_lo,,vW13_hi,,Y20,,Y20_lo,,Y20_hi,,K20,,K20_lo,,K20_hi,,V17,,V17_lo,,V17_hi,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.240355204736063,0.152782312713271,0.237987173162309,0.095519348081352,0.239565860878145,0.211823145924218,0.071435619141589,0.171817941788004,0.069856931425752,0.13108629784893,0.068278243709916,0.219529942054913,0.395066600888012,0.198221112115104,0.394277257030094,0.164101963640765,0.394277257030094,0.238214858182323,0.241144548593981,0.116563308476196,0.241933892451899,0.084504283641553,0.242723236309817,0.169206457874595,0.065973900434993,0.062787136294028,0.065973900434993,0.041347626339969,0.06665055582407,0.138744257274119,0.149879168680522,0.149770290964778,0.149879168680522,0.127105666156202,0.149879168680522,0.172434915773354
0.384015786877158,0.246881868292589,0.38322644301924,0.191262381631367,0.384805130735077,0.307488219802974,0.110113468179576,0.110761783083493,0.109324124321658,0.060331483603206,0.108534780463739,0.158341016561803,,,,,,,0.387173162308831,0.213997056227682,0.387173162308831,0.12909389964803,0.387962506166749,0.428495246861916,0.126872885451909,0.171822358346095,0.126872885451909,0.14854517611026,0.126872885451909,0.198774885145482,,,,,,
0.526097681302417,0.388883348124305,0.526097681302417,0.299738492374163,0.526887025160336,0.474558616439293,0.139319190922546,0.130418771664894,0.140108534780464,0.090765211203866,0.140108534780464,0.169206457874595,,,,,,,0.548199309324124,0.351136109392145,0.548199309324124,0.193225279785293,0.548199309324124,0.732404905075969,0.176268728854519,0.186523736600306,0.175592073465442,0.162633996937213,0.175592073465442,0.202450229709035,,,,,,
0.682387765170202,0.267894796912921,0.681598421312284,0.147418752164602,0.680809077454366,0.381022459709025,0.180365071534287,0.191262381631367,0.179575727676369,0.140798489703312,0.179575727676369,0.239434120204447,,,,,,,0.777109028120375,0.386903051009594,0.775530340404539,0.178980638906744,0.775530340404539,0.819463254175373,0.224987916868052,0.200612557427259,0.226341227646206,0.181010719754977,0.226341227646206,0.219601837672282,,,,,,
,,,,,,0.219832264430192,0.222918104181755,0.219832264430192,0.171817941788004,0.22062160828811,0.269265970626823,,,,,,,,,,,,,0.273707104881585,0.193874425727412,0.274383760270662,0.179785604900459,0.273707104881585,0.22021439509954,,,,,,
,,,,,,0.271139615194869,0.08070937608335,0.269560927479033,0.030130462317812,0.270350271336951,0.140081506463325,,,,,,,,,,,,,0.322426292895118,0.224502297090352,0.321749637506041,0.2,0.322426292895118,0.243491577335375,,,,,,
,,,,,,0.310606808090775,0.190288422874006,0.309817464232856,0.120804250375278,0.309817464232856,0.259813146464753,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.360335471139615,0.120189083103095,0.360335471139615,0.060331483603206,0.358756783423779,0.17806922203964,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.39980266403552,0.321946135673663,0.39980266403552,0.273421744345822,0.399013320177602,0.371419424480904,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.451110014800197,0.249415581191988,0.450320670942279,0.202310619187941,0.449531327084361,0.296693569194362,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.50004933399112,0.239434120204447,0.50004933399112,0.182673195067386,0.500838677849038,0.301272652598714,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.610557474099655,0.201280399875682,0.549777997039961,0.310643926920375,0.548988653182043,0.428495246861916,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.660286137148495,0.352933339531545,0.610557474099655,0.13108629784893,0.609768130241737,0.270644162458939,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.720276270350271,0.421982490205032,0.658707449432659,0.262479571201345,0.660286137148495,0.450939143900376,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.820522940305871,0.371419424480904,0.720276270350271,0.317052833230702,0.72106561420819,0.539162503396759,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.549777997039961,0.371419424480904,0.819733596447953,0.211823145924218,0.820522940305871,0.539162503396759,,,,,,,,,,,,,,,,,,,,,,,,
